"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Spiced Pumpkin Seeds","https://www.allrecipes.com/recipe/13839/spiced-pumpkin-seeds/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","D's Famous Salsa","https://www.allrecipes.com/recipe/16259/ds-famous-salsa/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Ratatouille","https://www.allrecipes.com/recipe/18411/ratatouille/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Real Hummus","https://www.allrecipes.com/recipe/26921/real-hummus/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Sweet Potato, Carrot, Apple, and Red Lentil Soup","https://www.allrecipes.com/recipe/186378/sweet-potato-carrot-apple-and-red-lentil-soup/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Awesome Broccoli-Cheese Casserole","https://www.allrecipes.com/recipe/13606/awesome-broccoli-cheese-casserole/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Vegan Brownies","https://www.allrecipes.com/recipe/68436/vegan-brownies/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Stuffed Shells III","https://www.allrecipes.com/recipe/21532/stuffed-shells-iii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Buttery Cooked Carrots","https://www.allrecipes.com/recipe/18256/buttery-cooked-carrots/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=5","Toasted Garlic Bread","https://www.allrecipes.com/recipe/21060/toasted-garlic-bread/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
