,URL,ingredient
12,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,1/2 cup chopped red onion
13,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,"2 avocados, chopped"
0,https://www.allrecipes.com/recipe/14231/guacamole/,"3 avocados - peeled, pitted, and mashed"
1,https://www.allrecipes.com/recipe/14231/guacamole/,"1 lime, juiced"
2,https://www.allrecipes.com/recipe/14231/guacamole/,1 teaspoon salt
3,https://www.allrecipes.com/recipe/14231/guacamole/,1/2 cup diced onion
4,https://www.allrecipes.com/recipe/14231/guacamole/,3 tablespoons chopped fresh cilantro
5,https://www.allrecipes.com/recipe/14231/guacamole/,"2 roma (plum) tomatoes, diced"
6,https://www.allrecipes.com/recipe/14231/guacamole/,1 teaspoon minced garlic
7,https://www.allrecipes.com/recipe/14231/guacamole/,1 pinch ground cayenne pepper (optional)
0,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1 teaspoon vegetable oil
1,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,"1 onion, chopped"
2,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,"3 cloves garlic, chopped"
3,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,3/4 cup quinoa
4,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1 1/2 cups vegetable broth
5,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1 teaspoon ground cumin
6,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1/4 teaspoon cayenne pepper
7,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,salt and ground black pepper to taste
8,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1 cup frozen corn kernels
9,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,"2 (15 ounce) cans black beans, rinsed and drained"
10,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1/2 cup chopped fresh cilantro
0,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,1/2 cup butter
1,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,1 (8 ounce) package cream cheese
2,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,2 teaspoons garlic powder
3,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,2 cups milk
4,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,6 ounces grated Parmesan cheese
5,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,1/8 teaspoon ground black pepper
0,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/,"2 kiwis, peeled and diced"
1,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/,"2 Golden Delicious apples - peeled, cored and diced"
2,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/,8 ounces raspberries
3,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/,1 pound strawberries
